spanish	reference	candidate	bleu	rogue	pos_reference	pos_candidate	bleu_pos	rogue_pos
Esto no acabará nunca.	This is never going to end.	This will never end.	17.030578356760866	0.5999999952	PRON VERB ADV VERB PART VERB PUNCT	PRON AUX ADV VERB PUNCT	20.252884954471366	0.7999999950000002
Simplemente no sé qué decir...	I just don't know what to say.	I just don't know what to say...	75.98356856515926	0.999999995	PRON ADV VERB ADV VERB PRON PRON VERB PUNCT	PRON ADV VERB ADV VERB PRON PRON VERB PUNCT	100.00000000000004	0.999999995
Era un conejo malo.	That was an evil bunny.	It was a bad rabbit.	9.652434877402245	0.19999999500000015	DET VERB DET ADJ NOUN PUNCT	ADV VERB DET ADJ NOUN PUNCT	75.98356856515926	0.9090909041322315
Yo estaba en las montañas.	I was in the mountains.	I was in the mountains.	100.00000000000004	0.999999995	PRON VERB ADP DET NOUN PUNCT	PRON VERB ADP DET NOUN PUNCT	100.00000000000004	0.999999995
¿Es una foto reciente?	Is it a recent picture?	Is that a recent photo?	19.304869754804482	0.5999999950000001	VERB PRON DET ADJ NOUN PUNCT	VERB DET DET ADJ NOUN PUNCT	53.7284965911771	0.9090909041322315
No sé si tengo tiempo.	I don't know if I have the time.	I don't know if I have time.	67.5291821812656	0.9230769181065088	PRON VERB ADV VERB ADP PRON VERB DET NOUN PUNCT	PRON VERB ADV VERB ADV PRON VERB PRON PUNCT	33.010083098515025	0.7272727226446282
Todo el mundo debe aprender por sí mismo al final.	Everyone must learn on their own in the end.	Everyone must learn for themselves in the end.	38.62752974508188	0.7058823479584776	PRON AUX VERB ADP PRON ADV ADP DET NOUN PUNCT	PRON AUX VERB ADP PRON ADP DET NOUN PUNCT	66.90484408935988	0.9333333283555556
La educación en este mundo me decepciona.	Education in this world disappoints me.	Education in this world disappoints me.	100.00000000000004	0.999999995	NOUN ADP DET NOUN VERB PRON PUNCT	NOUN ADP DET NOUN VERB PRON PUNCT	100.00000000000004	0.999999995
El aprendizaje no debe ser forzado, sino estimulado.	Learning should not be forced. Learning should be encouraged.	Learning should not be forced, but stimulated.	37.40548510898885	0.6153846104142012	NOUN AUX ADV ADV VERB PUNCT NOUN AUX ADV VERB PUNCT	NOUN AUX ADV ADV VERB PUNCT CCONJ ADJ PUNCT	48.88290318657944	0.8333333284722222
"Es una tarea difícil elegir qué está ""bien"" o ""mal"", pero has de hacerlo."	"It is a difficult task, choosing what is ""right"" or ""wrong"", but you have to do it."	"It's a difficult task to choose what's ""good"" or ""bad"", but you have to."	30.596772010220075	0.4827586157431629	PRON VERB DET ADJ NOUN PUNCT VERB PRON VERB PRON ADJ CCONJ PUNCT ADV ADJ PUNCT PUNCT CCONJ PRON VERB ADV VERB PRON PUNCT	PRON VERB DET ADJ NOUN PART VERB PRON PRON VERB ADJ PUNCT CCONJ ADV ADJ PUNCT PUNCT CCONJ PRON VERB INTJ PUNCT	46.214196881515406	0.8888888839506174
Eso no va a cambiar nada.	That won't change anything.	That's not gonna change anything.	30.213753973567677	0.4444444395061729	DET AUX ADV VERB PRON PUNCT	DET VERB PRON AUX VERB PRON PUNCT	27.77619034011791	0.9090909041322315
Eso va a costar 30 €.	This will cost €30.	That's going to cost 30 €.	7.809849842300637	0.1999999952000001	PRON AUX VERB SYM NUM PUNCT	DET VERB VERB PRON VERB NUM PUNCT PUNCT	13.134549472120788	0.7272727223140496
Gano 100 € al día.	I make €100 a day.	I earn €100 a day.	53.7284965911771	0.7999999950000002	PRON VERB NUM NUM SYM NUM PUNCT	PRON VERB NUM NUM SYM NUM PUNCT	100.00000000000004	0.999999995
Quizás me dé pronto por vencido y en lugar de eso me eche una siesta.	I may give up soon and just nap instead.	Maybe I'll give up soon and take a nap instead.	33.932513407933634	0.6315789423822715	PRON AUX VERB PRON CCONJ ADV ADV ADV ADV PUNCT	VERB PRON AUX VERB PRON CCONJ ADV VERB DET NOUN ADV PUNCT	46.92470064105597	0.8571428522448981
Eso es porque no quieres estar solo.	It's because you don't want to be alone.	That's because you don't want to be alone.	86.33400213704509	0.874999995	PRON VERB ADP PRON VERB ADV VERB ADV VERB ADJ PUNCT	PRON VERB ADV PRON VERB ADV VERB ADV VERB ADJ PUNCT	74.19446627365011	0.9090909041322315
Eso no va a pasar.	That won't happen.	That's not gonna happen.	21.3643503198117	0.2857142808163266	DET VERB ADV VERB PUNCT	DET VERB ADV PRON VERB PUNCT	37.99178428257963	0.8888888839506174
A veces él puede ser un chico raro.	Sometimes he can be a strange guy.	Sometimes he can be a weird guy.	59.4603557501361	0.8571428521428571	ADV PRON AUX VERB DET ADJ NOUN PUNCT	ADV PRON AUX VERB DET ADJ NOUN PUNCT	100.00000000000004	0.999999995
Me voy a esforzar por no molestarte en tus estudios.	I'll do my best not to disturb your studying.	I'm going to try hard not to bother you in your studies.	7.347053125977879	0.2999999950500001	PRON AUX VERB ADV ADV ADV PART VERB PRON PRON PUNCT	PRON VERB VERB ADV VERB ADV ADV ADV VERB PRON ADP PRON NOUN PUNCT	23.397625978961173	0.6666666616666668
Sólo puedo preguntarme si acaso es lo mismo para todos los demás.	I can only wonder if this is the same for everyone else.	I can only wonder if it's the same for everyone else.	67.61304462994481	0.8695652124007562	PRON AUX ADV VERB ADP DET VERB DET ADJ NOUN ADP PRON PUNCT	PRON AUX ADV VERB ADP PRON VERB DET ADJ NOUN ADP PRON PUNCT	76.11606003349888	0.999999995
Supongo que es diferente cuando lo consideras a largo plazo.	I suppose it's different when you think about it over the long term.	I guess it's different when you consider it in the long run.	23.566578558703185	0.6399999950080001	ADV VERB PRON VERB ADV ADV PRON VERB ADP DET ADP DET ADJ NOUN PUNCT	PRON VERB PRON VERB ADJ ADP PRON VERB PRON ADP DET ADJ NOUN PUNCT	37.257423107540355	0.9333333283555556
No te preocupes.	Don't worry about it!	Don't worry.	0.0	0.6666666622222223	AUX VERB VERB ADP PRON PUNCT	PRON VERB NOUN PUNCT	12.750736437345598	0.4444444395061729
Los llamaré cuando regrese mañana.	I'll call them tomorrow when I come back.	I'll call you when I get back tomorrow.	15.510080985034998	0.624999995	PRON AUX VERB PRON ADV ADV PRON VERB ADP PUNCT	PRON AUX VERB PRON ADV PRON VERB ADP ADV PUNCT	67.56000774035174	0.999999995
Siempre me gustaron más los personajes misteriosos.	I always liked mysterious characters more.	I always liked mysterious characters better.	64.34588841607616	0.8333333283333335	PRON ADV VERB ADJ NOUN ADV PUNCT	PRON ADV VERB ADJ NOUN ADV PUNCT	100.00000000000004	0.999999995
Deberías dormir.	You should sleep.	You should sleep.	100.00000000000004	0.999999995	PRON AUX VERB PUNCT	PRON AUX VERB PUNCT	100.00000000000004	0.999999995
Les dije que me mandaran otro boleto.	I told them to send me another ticket.	I told them to send me another ticket.	100.00000000000004	0.999999995	PRON VERB VERB PRON VERB PRON DET NOUN PUNCT	PRON VERB VERB PRON VERB PRON DET NOUN PUNCT	100.00000000000004	0.999999995
Eres tan impaciente conmigo.	You're so impatient with me.	You're so impatient with me.	100.00000000000004	0.999999995	PRON VERB ADV ADJ ADP PRON PUNCT	PRON VERB ADV ADJ ADP PRON PUNCT	100.00000000000004	0.999999995
No puedo vivir así.	I can't live that kind of life.	I can't live like this.	23.263472697663296	0.499999995138889	PRON AUX ADV VERB DET NOUN NOUN PRON PUNCT	PRON AUX ADV VERB ADP DET PUNCT	34.191776499651844	0.8571428521428571
Una vez quise ser astrofísico.	I once wanted to be an astrophysicist.	I wanted to be an astrophysicist once.	58.14307369682194	0.8571428521428571	PRON ADV VERB PART VERB DET NOUN PUNCT	PRON VERB PRON VERB DET NOUN ADV PUNCT	25.40663740773074	0.7692307642603551
Nunca me gustó la biología.	I never liked biology.	I never liked biology.	100.00000000000004	0.999999995	PRON ADV VERB NOUN PUNCT	PRON ADV VERB NOUN PUNCT	100.00000000000004	0.999999995
La última persona a la que le conté mi idea pensó que yo estaba loco.	The last person I told my idea to thought I was nuts.	The last person I told my idea to thought I was crazy.	84.23626743789745	0.9090909040909091	DET ADJ NOUN PRON VERB PRON NOUN PRON VERB PRON VERB ADJ PUNCT	DET ADJ NOUN PRON VERB PRON VERB PRON VERB PRON VERB ADJ PUNCT	76.11606003349888	0.999999995
Si el mundo no fuera como es, yo podría confiar en cualquiera.	If the world weren't in the shape it is now, I could trust anyone.	If the world wasn't the way it is, I could trust anyone.	42.89307919773264	0.666666661701389	ADP DET NOUN VERB ADV ADP DET NOUN PRON VERB ADV SYM PRON AUX VERB PRON PUNCT	ADV DET NOUN VERB ADV DET NOUN PRON VERB PUNCT PRON AUX VERB PRON PUNCT	51.47301559697202	0.8749999950781251
Desafortunadamente es verdad.	Unfortunately, it's true.	Unfortunately it's true.	49.76093899250716	0.6666666616666668	ADV VERB PRON VERB ADJ PUNCT	ADV ADV VERB ADJ PUNCT	38.71538698781763	0.8888888839506174
Están muy ocupados peleándose entre ellos, como para preocuparse por los ideales comunes.	They are too busy fighting against each other to care for common ideals.	They're too busy fighting each other, to worry about common ideals.	20.953980708003318	0.5833333283680556	PRON VERB ADV ADJ VERB ADP DET NOUN PART VERB ADP ADJ NOUN PUNCT	PRON VERB ADV ADJ VERB CCONJ ADV PUNCT INTJ VERB ADP ADJ NOUN PUNCT	53.16967153331756	0.7777777727777778
La mayoría de la gente cree que estoy loco.	Most people think I'm crazy.	Most people think I'm crazy.	100.00000000000004	0.999999995	ADV PRON VERB PRON VERB ADJ PUNCT	ADV PRON VERB PRON VERB ADJ PUNCT	100.00000000000004	0.999999995
¡No, no lo soy! ¡Lo eres tú!	No I'm not; you are!	No, I'm not!	17.030578356760866	0.24999999531250006	ADV PRON VERB ADV VERB PRON VERB PUNCT	ADV VERB PRON VERB ADV PUNCT	47.917336715827105	0.999999995
¡Esa es mi frase!	That's my line!	That's my line!	100.00000000000004	0.999999995	DET VERB PRON NOUN PUNCT	DET VERB PRON NOUN PUNCT	100.00000000000004	0.999999995
¡¡Él está pateándome!!	He's kicking me!	He's kicking me!	100.00000000000004	0.999999995	PRON VERB VERB PRON PUNCT	PRON VERB VERB PRON PUNCT	100.00000000000004	0.999999995
¿Estás seguro?	Are you sure?	Are you sure?	100.00000000000004	0.999999995	VERB PRON ADJ PUNCT	VERB PRON ADJ PUNCT	100.00000000000004	0.999999995
Entonces tenemos un problema...	Then there is a problem...	Then we have a problem...	54.10822690539397	0.5999999950000001	ADV DET VERB DET NOUN PUNCT	ADV PRON VERB DET NOUN PUNCT	53.7284965911771	0.9090909041322315
¡Ah, allí hay una mariposa!	Oh, there's a butterfly!	Ah, there's a butterfly!	75.98356856515926	0.749999995	INTJ PUNCT PRON VERB DET NOUN PUNCT	INTJ PUNCT PRON VERB DET NOUN PUNCT	100.00000000000004	0.999999995
¡Date prisa!	Hurry up.	Hurry up!	0.0	0.4999999950000001	INTJ INTJ PUNCT	INTJ INTJ PUNCT	0.0	0.999999995
No me sorprende.	It doesn't surprise me.	I'm not surprised.	12.44023474812678	0.0	PRON VERB ADV VERB PRON PUNCT	PRON VERB ADV ADJ PUNCT	34.98330125272253	0.8888888839506174
Si yo pudiera ser así...	If I could be like that...	If I could be like this...	59.694917920196445	0.8333333283333335	ADV PRON AUX VERB VERB DET PUNCT	ADV PRON AUX VERB VERB DET PUNCT	100.00000000000004	0.999999995
Por alguna razón, me siento más vivo por la noche.	For some reason I feel more alive at night.	For some reason, I feel more alive at night.	70.16879391277372	0.888888883888889	ADP DET NOUN PRON VERB ADV ADJ ADP NOUN PUNCT	ADP DET NOUN VERB PRON VERB ADV ADJ ADP NOUN PUNCT	70.16879391277372	0.999999995
Eso depende del contexto.	That depends on the context.	That depends on the context.	100.00000000000004	0.999999995	DET VERB ADP DET NOUN PUNCT	DET VERB ADP DET NOUN PUNCT	100.00000000000004	0.999999995
¡¿Acaso te quieres burlar de mí?!	Are you freaking kidding me?!	Do you want to make fun of me?!	16.784459625186194	0.3076923029585799	VERB PRON VERB INTJ INTJ PRON PUNCT	VERB PRON VERB PRON VERB NOUN ADP PRON SYM PUNCT	17.747405280050266	0.5999999952
Es la cosa más estúpida que he dicho nunca.	That's the stupidest thing I've ever said.	It's the stupidest thing I've ever said.	84.08964152537145	0.8571428521428571	DET VERB DET ADJ NOUN PRON VERB ADV VERB PUNCT	PRON VERB DET ADJ NOUN PRON VERB ADV VERB PUNCT	88.01117367933934	0.999999995
¡¡No quiero ser patético, quiero ser guay!!	I don't want to be lame; I want to be cool!!	I don't want to be pathetic, I want to be cool!!	69.97522298221911	0.8571428521428571	PRON VERB ADV VERB PRON VERB ADJ VERB PRON VERB ADV VERB INTJ INTJ PUNCT	PRON VERB ADV VERB ADV VERB ADJ CCONJ PRON VERB PRON VERB INTJ INTJ PUNCT	49.80657277693546	0.9230769181065088
Cuando crezca, quiero ser un rey.	When I grow up, I want to be a king.	When I grow up, I want to be a king.	100.00000000000004	0.999999995	ADV PRON VERB PRON VERB PRON VERB ADV VERB DET NOUN PUNCT	ADV PRON VERB PRON VERB PRON VERB ADV VERB DET NOUN PUNCT	100.00000000000004	0.999999995
América es un lugar encantador para vivir, si estás aquí para ganar dinero.	America is a lovely place to be, if you are here to earn money.	America is a lovely place to live, if you're here to make money.	40.51111355130968	0.7199999950079999	PROPN VERB DET ADJ NOUN ADV VERB PUNCT ADV ADV VERB ADV ADV VERB NOUN PUNCT	PROPN VERB DET ADJ NOUN PART VERB PUNCT ADV ADV VERB ADV ADV VERB PRON PUNCT	68.65065103648593	0.8749999950781251
Estoy tan gordo.	I'm so fat.	I'm so fat.	100.00000000000004	0.999999995	PRON VERB ADV ADJ PUNCT	PRON VERB ADV ADJ PUNCT	100.00000000000004	0.999999995
¿Entonces qué?	So what?	Then what?	0.0	0.4999999950000001	ADV VERB PUNCT	VERB PRON PUNCT	0.0	0.6666666616666668
Voy a pegarle un tiro.	I'm gonna shoot him.	I'm gonna shoot him.	100.00000000000004	0.999999995	PRON VERB PRON VERB PRON PUNCT	PRON VERB PRON VERB PRON PUNCT	100.00000000000004	0.999999995
No soy un pez de verdad, sólo soy un peluche.	I'm not a real fish, I'm just a mere plushy.	I'm not a real fish, I'm just a stuffed animal.	72.92571723872932	0.749999995	PRON VERB ADV DET ADJ NOUN PUNCT PRON VERB ADV DET ADJ ADJ PUNCT	PRON VERB ADV DET ADJ NOUN PUNCT PRON VERB ADV DET ADJ NOUN PUNCT	85.5526185871245	0.999999995
¡Yo sólo lo digo!	I'm just saying!	I'm just saying!	100.00000000000004	0.999999995	PRON VERB PRON VERB PUNCT	PRON VERB PRON VERB PUNCT	100.00000000000004	0.999999995
Eso fue probablemente lo que influenció su decisión.	That was probably what influenced their decision.	That's probably what influenced his decision.	26.647313141084275	0.6153846104142012	DET VERB ADV PRON VERB PRON NOUN PUNCT	DET VERB ADV PRON VERB PRON NOUN PUNCT	100.00000000000004	0.999999995
Siempre me he preguntado cómo será tener hermanos.	I've always wondered what it'd be like to have siblings.	I've always wondered what it's like to have brothers.	35.54333944875169	0.7368421002770082	PRON VERB ADV VERB PRON PRON AUX VERB ADP PRON VERB PRON PUNCT	PRON VERB ADV VERB PRON PRON AUX ADP PRON VERB PRON PUNCT	76.7733168433653	0.999999995
Esto es lo que yo habría dicho.	This is what I would have said.	This is what I would have said.	100.00000000000004	0.999999995	PRON VERB PRON PRON PRON VERB VERB PUNCT	PRON VERB PRON PRON PRON VERB VERB PUNCT	100.00000000000004	0.999999995
Me tomaría una eternidad explicarte todo.	It would take forever for me to explain everything.	It would take me forever to explain everything to you.	25.965358893403383	0.7777777727777778	PRON AUX VERB PRON VERB PRON CCONJ VERB PRON PUNCT	PRON AUX VERB PRON ADV ADV VERB PRON ADP PRON PUNCT	31.7023313852343	0.7272727223140496
Eso es porque eres una chica.	That's because you're a girl.	That's because you're a girl.	100.00000000000004	0.999999995	VERB PRON VERB PRON VERB DET NOUN PUNCT	VERB PRON VERB PRON VERB DET NOUN PUNCT	100.00000000000004	0.999999995
Algunas veces no puedo evitar mostrar mis sentimientos.	Sometimes I can't help showing emotions.	Sometimes I can't help but show my feelings.	31.55984539112946	0.5714285665306124	ADV PRON AUX ADV VERB VERB NOUN PUNCT	ADV PRON AUX ADV VERB PRON VERB PRON NOUN PUNCT	46.713797772819994	0.999999995
Es una palabra para la que me gustaría encontrar una sustituta.	It's a word I'd like to find a substitute for.	It's a word I'd like to find a replacement for.	74.19446627365011	0.888888883888889	PRON VERB DET NOUN PRON AUX VERB PART VERB ADP DET ADP PUNCT	PRON VERB DET NOUN PRON AUX VERB PART VERB DET NOUN ADP PUNCT	71.70326647358438	0.999999995
Eso sería algo que habría que programar.	It would be something I'd have to program.	That would be something to be programmed.	20.612390921238426	0.5714285665306124	PRON AUX VERB NOUN PRON AUX VERB PART VERB PUNCT	DET AUX VERB NOUN PART VERB VERB PUNCT	23.530495254141297	0.8333333283333335
No tengo la intención de ser egoísta.	I don't intend to be selfish.	I don't mean to be selfish.	48.892302243490086	0.8333333283333335	PRON VERB ADV VERB ADV VERB ADJ PUNCT	PRON VERB ADV VERB ADV VERB ADJ PUNCT	100.00000000000004	0.999999995
Pensemos en lo peor que podría pasar.	Let's consider the worst that could happen.	Let's think about the worst that could happen.	61.04735835807847	0.7999999950222222	AUX DET VERB DET NOUN PRON AUX VERB PUNCT	AUX PRON VERB ADP DET NOUN PRON AUX VERB PUNCT	55.55238068023578	0.9230769181065088
¿Cuántos amigos íntimos tienes?	How many close friends do you have?	How many close friends do you have?	100.00000000000004	0.999999995	ADV PRON ADJ NOUN VERB PRON VERB PUNCT	ADV PRON ADJ NOUN VERB PRON VERB PUNCT	100.00000000000004	0.999999995
Yo puedo ser antisocial, pero eso no significa que no hable con la gente.	I may be antisocial, but it doesn't mean I don't talk to people.	I can be antisocial, but that doesn't mean I don't talk to people.	66.06328636027618	0.8333333283333335	PRON AUX VERB ADJ PUNCT CCONJ PRON VERB ADV VERB PRON VERB ADV VERB ADP PRON PUNCT	PRON AUX VERB ADJ PUNCT CCONJ PRON VERB ADV VERB PRON VERB ADV VERB ADP PRON PUNCT	100.00000000000004	0.999999995
Así ha sido siempre.	It's always been that way.	That's how it's always been.	17.965205598154213	0.3999999950000001	PRON VERB ADV VERB DET ADJ PUNCT	DET VERB ADV PRON VERB ADV VERB PUNCT	38.260294162784454	0.7272727223140496
Creo que lo mejor es no ser maleducado.	I think it is best not to be impolite.	I think it's best not to be rude.	33.010083098515025	0.7058823479584776	PRON VERB PRON VERB ADV ADV ADV VERB ADJ PUNCT	PRON VERB PRON VERB ADV ADV ADV VERB ADJ PUNCT	100.00000000000004	0.999999995
Uno siempre puede encontrar tiempo.	One can always find time.	One can always find time.	100.00000000000004	0.999999995	PRON AUX ADV VERB PRON PUNCT	PRON AUX ADV VERB PRON PUNCT	100.00000000000004	0.999999995
Yo seré infeliz, pero no me suicidaría.	I'd be unhappy, but I wouldn't kill myself.	I'll be unhappy, but I wouldn't kill myself.	88.01117367933934	0.874999995	PRON AUX VERB ADJ INTJ CCONJ PRON AUX ADV VERB PRON PUNCT	PRON AUX VERB ADJ INTJ CCONJ PRON AUX ADV VERB PRON PUNCT	100.00000000000004	0.999999995
Cuando yo estaba en el instituto me levantaba a las 6 todas las mañanas.	Back in high school, I got up at 6 a.m. every morning.	When I was in high school, I got up at 6:00 every morning.	56.35190098079901	0.7199999950079999	ADP ADP ADJ NOUN VERB PRON VERB PRON ADP NUM NOUN CCONJ NOUN PUNCT	ADV PRON VERB ADP ADJ NOUN VERB PRON VERB PRON ADP NUM NUM NOUN PUNCT	61.28081331864041	0.874999995
Cuando me desperté estaba triste.	When I woke up, I was sad.	When I woke up, I was sad.	100.00000000000004	0.999999995	ADV PRON VERB ADV ADV PRON VERB ADJ PUNCT	ADV PRON VERB ADV ADV PRON VERB ADJ PUNCT	100.00000000000004	0.999999995
Por fin está más o menos explicado.	That is somewhat explained at the end.	It's finally more or less explained.	6.770186228657864	0.1538461488757398	DET VERB ADV VERB ADP DET NOUN PUNCT	PRON VERB ADV ADV ADV ADV ADJ PUNCT	12.22307556087252	0.5454545404958678
Yo pensaba que te gustaba aprender cosas nuevas.	I thought you liked to learn new things.	I thought you liked to learn new things.	100.00000000000004	0.999999995	PRON VERB PRON VERB PART VERB ADJ NOUN PUNCT	PRON VERB PRON VERB PART VERB ADJ NOUN PUNCT	100.00000000000004	0.999999995
La mayoría de la gente escribe sobre su vida cotidiana.	Most people write about their daily life.	Most people write about their daily lives.	70.71067811865478	0.8571428521428571	ADJ NOUN VERB ADP PRON ADJ NOUN PUNCT	ADJ NOUN VERB ADP PRON NOUN NOUN PUNCT	59.4603557501361	0.999999995
Si pudiera enviarte un malvavisco, Trang, lo haría.	If I could send you a marshmallow, Trang, I would.	If I could send you a marshmallow, Trang, I would.	100.00000000000004	0.999999995	ADV PRON AUX VERB PRON DET NOUN ADV PUNCT INTJ PRON AUX PUNCT	ADV PRON AUX VERB PRON DET NOUN ADV PUNCT INTJ PRON AUX PUNCT	100.00000000000004	0.999999995
Para hacer eso, tienes que arriesgarte.	In order to do that, you have to take risks.	To do that, you have to risk it.	43.98917247584221	0.5882352891349482	ADP NOUN PART VERB DET PUNCT PRON VERB ADV VERB NOUN PUNCT	PART VERB DET PUNCT PRON VERB ADV VERB PRON PUNCT	64.069143843707	0.8571428522448981
Todas las personas que están solas, están solas porque tienen miedo de los demás.	Every person who is alone is alone because they are afraid of others.	All the people who are alone are alone because they are afraid of others.	50.31747626530137	0.7272727222727273	ADV NOUN PRON VERB ADV VERB ADV ADP PRON VERB ADJ ADP NUM PUNCT	ADV DET NOUN PRON VERB ADV VERB ADV ADP PRON VERB ADJ ADP NUM PUNCT	86.66415730847507	0.9411764656055364
¿Por qué lo preguntas?	Why do you ask?	Why do you ask?	100.00000000000004	0.999999995	AUX VERB PRON VERB PUNCT	AUX VERB PRON VERB PUNCT	100.00000000000004	0.999999995
No soy un artista. Nunca tuve mente para ello.	I am not an artist. I never had the knack for it.	I'm not an artist. I never had a mind for it.	53.5536059195526	0.7272727222727273	PRON VERB ADV DET NOUN PUNCT PRON ADV VERB DET NOUN ADP PRON PUNCT	PRON VERB ADV DET NOUN PUNCT PRON ADV VERB DET NOUN ADP PRON PUNCT	100.00000000000004	0.999999995
No puedo decírselo ahora. Ya no es tan simple.	I can't tell her now. It's not that simple anymore.	I can't tell you now, it's not that simple anymore.	43.66835442847811	0.699999995	PRON AUX ADV VERB PRON ADV PUNCT PRON VERB ADV ADV ADJ ADV PUNCT	PRON AUX ADV VERB PRON ADV PUNCT PRON VERB ADV ADV ADJ ADV PUNCT	100.00000000000004	0.999999995
Soy una persona que tiene muchos defectos, pero esos defectos pueden ser corregidos fácilmente.	I am a flawed person, but these are flaws that can easily be fixed.	I am a person who has many defects, but those defects can be easily corrected.	12.729922658368396	0.41379309845422124	PRON VERB DET ADJ NOUN CCONJ VERB DET VERB NOUN PRON AUX ADV VERB VERB PUNCT	PRON VERB DET NOUN PRON VERB NUM NOUN PUNCT ADV DET NOUN AUX VERB ADV VERB PUNCT	15.444497778437688	0.7058823479584776
Cada vez que encuentro algo que me gusta, es demasiado caro.	Whenever I find something I like, it's too expensive.	Every time I find something I like, it's too expensive.	80.70557274927978	0.823529406782007	ADV PRON VERB DET PRON AUX VERB PRON VERB ADV ADJ PUNCT	ADV ADV PRON VERB DET PRON AUX VERB PRON VERB ADV ADJ PUNCT	91.21679090703874	0.999999995
¿Cuánto tiempo estuviste?	How long did you stay?	How long were you?	20.80119537801062	0.4444444395061729	ADV ADV AUX PRON VERB PUNCT	ADV ADV VERB PRON PUNCT	21.994586237921105	0.6666666617283951
Quizás sea lo mismo para él.	Maybe it will be exactly the same for him.	Maybe it's the same for him.	41.91742490576712	0.6666666618666668	AUX PRON AUX VERB ADV DET ADJ ADP PRON PUNCT	VERB PRON VERB DET ADJ ADP PRON PUNCT	43.79518644116555	0.8571428522448981
La inocencia es una cosa hermosa.	Innocence is a beautiful thing.	Innocence is a beautiful thing.	100.00000000000004	0.999999995	NOUN VERB DET ADJ NOUN PUNCT	NOUN VERB DET ADJ NOUN PUNCT	100.00000000000004	0.999999995
Los humanos nunca fueron hechos para vivir eternamente.	Humans were never meant to live forever.	Humans were never made to live forever.	50.000000000000014	0.8571428521428571	NOUN VERB ADV VERB PART VERB ADV PUNCT	NOUN VERB ADV VERB PART VERB ADV PUNCT	100.00000000000004	0.999999995
No quiero perder mis ideas, aunque algunas de ellas sean un poco extremas.	I don't want to lose my ideas, even though some of them are a bit extreme.	I don't want to lose my ideas, even if some of them are a little extreme.	68.99302125555486	0.874999995	PRON VERB ADV VERB PRON VERB PRON NOUN PUNCT ADV ADP PRON VERB PRON VERB ADV ADV ADJ PUNCT	PRON VERB ADV VERB PRON VERB PRON NOUN PUNCT ADV ADV ADV ADV PRON VERB ADV ADV ADJ PUNCT	73.31765459202478	0.9230769181065088
Creo que tengo una teoría sobre eso.	I think I have a theory about that.	I think I have a theory about that.	100.00000000000004	0.999999995	PRON VERB PRON VERB DET NOUN ADP DET PUNCT	PRON VERB PRON VERB DET NOUN ADP DET PUNCT	100.00000000000004	0.999999995
Eso es intrigante.	That is intriguing.	That's intriguing.	0.0	0.39999999520000007	DET VERB ADJ PUNCT	DET VERB ADJ PUNCT	100.00000000000004	0.999999995
